Handle,Title,Body HTML,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description,Status
kajo-sada,Kajo Sada,"<h2>Morganics Kajo Sada</h2><p>Morganics Kajo Sada is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is naturally satisfying texture, family serving value and premium pantry appeal, with Pakistan-focused usage around clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting.</p><h3>Best Use Cases</h3><ul><li>Clean snacking</li><li>Tea-time serving</li><li>Breakfast bowls</li><li>Desserts</li><li>Premium gifting</li></ul><h3>Why Customers Choose It</h3><ul><li>Naturally satisfying texture</li><li>Family serving value</li><li>Premium pantry appeal</li></ul><h3>How to Use</h3><p>Snack directly, add to desserts, breakfast bowls, trail mixes, kheer, halwa or gift boxes.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Contains tree nuts and may not suit customers with nut allergies. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Nuts,"Morganics, Nuts, Kaju Sada, Kaju, Kajo, Cashew, Plain Cashews, Kajo Sada, کاجو سادہ",TRUE,Size,200g,KAJO-SIM-250,1299,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_17-kajo-sada.jpg,Kajo Sada - کاجو سادہ | Morganics,Buy Kajo Sada Online in Pakistan | Morganics,"Shop Morganics Kajo Sada for clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting. Freshness-led packing, practical usage guidan",active
kajo-sada,,,,,,,,Size,500g,KAJO-SIM-250-500G,3248,shopify,0,deny,manual,TRUE,FALSE,,,,,
kajo-sada,,,,,,,,Size,1kg,KAJO-SIM-250-1KG,6495,shopify,0,deny,manual,TRUE,FALSE,,,,,
sikakai,Sikakai,"<h2>Morganics Sikakai</h2><p>Morganics Sikakai is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is aroma, traditional familiarity and practical kitchen use, with Pakistan-focused usage around tea, kitchen, aroma, traditional pantry and careful daily routines.</p><h3>Best Use Cases</h3><ul><li>Tea</li><li>Kitchen use</li><li>Aroma</li><li>Traditional pantry</li><li>Careful daily routine</li></ul><h3>Why Customers Choose It</h3><ul><li>Aroma-led pantry use</li><li>Traditional familiarity</li><li>Practical kitchen routine</li></ul><h3>How to Use</h3><p>Use in tea, cooking, infusions or traditional preparations in small sensible amounts.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Herbs may not suit every body; ask a qualified professional if pregnant, nursing, medicated or managing a condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Herbs & Spices",Herbs,"Morganics, Herbs",TRUE,Size,Premium Pack,SIK-100,849,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_18-sikakai.jpg,Sikakai | Morganics,Buy Sikakai Online in Pakistan | Morganics,"Shop Morganics Sikakai for tea, kitchen, aroma, traditional pantry and careful daily routines. Freshness-led packing, practical usage guidance and safe eco",active
harmal,Harmal,"<h2>Morganics Harmal</h2><p>Morganics Harmal is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is heritage use, careful selection and clear precaution guidance, with Pakistan-focused usage around traditional pantry routines, guided wellness use and specialist ingredient needs.</p><h3>Best Use Cases</h3><ul><li>Traditional pantry routine</li><li>Guided wellness use</li><li>Specialist ingredient needs</li></ul><h3>Why Customers Choose It</h3><ul><li>Heritage use</li><li>Careful selection</li><li>Clear precaution guidance</li></ul><h3>How to Use</h3><p>Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items",Botanicals,"Morganics, Botanicals",TRUE,Size,Premium Pack,HERB-MIX-100,999,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_19-harmal.jpg,Harmal - ہرمل گگل لوبان | Morganics,Buy Harmal Online in Pakistan | Morganics,"Shop Morganics Harmal for traditional pantry routines, guided wellness use and specialist ingredient needs. Freshness-led packing, practical usage guidance",active
amla,Amla,"<h2>Morganics Amla</h2><p>Morganics Amla is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is aroma, traditional familiarity and practical kitchen use, with Pakistan-focused usage around tea, kitchen, aroma, traditional pantry and careful daily routines.</p><h3>Best Use Cases</h3><ul><li>Tea</li><li>Kitchen use</li><li>Aroma</li><li>Traditional pantry</li><li>Careful daily routine</li></ul><h3>Why Customers Choose It</h3><ul><li>Aroma-led pantry use</li><li>Traditional familiarity</li><li>Practical kitchen routine</li></ul><h3>How to Use</h3><p>Use in tea, cooking, infusions or traditional preparations in small sensible amounts.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Herbs may not suit every body; ask a qualified professional if pregnant, nursing, medicated or managing a condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Herbs & Spices",Herbs,"Morganics, Herbs",TRUE,Size,Premium Pack,AMLA-100,849,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_20-amla.jpg,Amla | Morganics,Buy Amla Online in Pakistan | Morganics,"Shop Morganics Amla for tea, kitchen, aroma, traditional pantry and careful daily routines. Freshness-led packing, practical usage guidance and safe ecomme",active
moringa,Moringa,"<h2>Morganics Moringa</h2><p>Morganics Moringa is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is aroma, traditional familiarity and practical kitchen use, with Pakistan-focused usage around tea, kitchen, aroma, traditional pantry and careful daily routines.</p><h3>Best Use Cases</h3><ul><li>Tea</li><li>Kitchen use</li><li>Aroma</li><li>Traditional pantry</li><li>Careful daily routine</li></ul><h3>Why Customers Choose It</h3><ul><li>Aroma-led pantry use</li><li>Traditional familiarity</li><li>Practical kitchen routine</li></ul><h3>How to Use</h3><p>Use in tea, cooking, infusions or traditional preparations in small sensible amounts.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Herbs may not suit every body; ask a qualified professional if pregnant, nursing, medicated or managing a condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Herbs & Spices",Herbs,"Morganics, Herbs",TRUE,Size,Premium Pack,MOR-100,849,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_21-moringa.jpg,Moringa - مورنگا | Morganics,Buy Moringa Online in Pakistan | Morganics,"Shop Morganics Moringa for tea, kitchen, aroma, traditional pantry and careful daily routines. Freshness-led packing, practical usage guidance and safe eco",active
satawar,Satawar,"<h2>Morganics Satawar</h2><p>Morganics Satawar is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is heritage use, careful selection and clear precaution guidance, with Pakistan-focused usage around traditional pantry routines, guided wellness use and specialist ingredient needs.</p><h3>Best Use Cases</h3><ul><li>Traditional pantry routine</li><li>Guided wellness use</li><li>Specialist ingredient needs</li></ul><h3>Why Customers Choose It</h3><ul><li>Heritage use</li><li>Careful selection</li><li>Clear precaution guidance</li></ul><h3>How to Use</h3><p>Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items",Botanicals,"Morganics, Botanicals",TRUE,Size,Premium Pack,SAT-100,999,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_22-satawar.jpg,Satawar - ستاور | Morganics,Buy Satawar Online in Pakistan | Morganics,"Shop Morganics Satawar for traditional pantry routines, guided wellness use and specialist ingredient needs. Freshness-led packing, practical usage guidanc",active
fruit-salt,Fruit Salt,"<h2>Morganics Fruit Salt</h2><p>Morganics Fruit Salt is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is natural sweetness, kitchen practicality and familiar Pakistani taste, with Pakistan-focused usage around tea, breakfast, desserts, cooking and family pantry restocking.</p><h3>Best Use Cases</h3><ul><li>Tea</li><li>Breakfast</li><li>Desserts</li><li>Cooking</li><li>Family pantry restocking</li></ul><h3>Why Customers Choose It</h3><ul><li>Natural sweetness</li><li>Kitchen practicality</li><li>Familiar Pakistani taste</li></ul><h3>How to Use</h3><p>Use in tea, milk, desserts, breakfast, baking or everyday kitchen recipes as preferred.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Natural sweeteners are still sweet foods; use according to your dietary needs. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Sweeteners",Natural Sweeteners,"Morganics, Natural Sweeteners",TRUE,Size,Premium Pack,FRS-100,699,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_23-fruit-salt.jpg,Fruit Salt - فروٹ سالٹ | Morganics,Buy Fruit Salt Online in Pakistan | Morganics,"Shop Morganics Fruit Salt for tea, breakfast, desserts, cooking and family pantry restocking. Freshness-led packing, practical usage guidance and safe ecom",active
til-black,Til Black,"<h2>Morganics Til Black</h2><p>Morganics Til Black is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is small-format pantry convenience, topping use and modern wellness routines, with Pakistan-focused usage around breakfast bowls, soaked drinks, salads, baking and clean snack portions.</p><h3>Best Use Cases</h3><ul><li>Breakfast bowls</li><li>Soaked drinks</li><li>Salads</li><li>Baking</li><li>Clean snack portions</li></ul><h3>Why Customers Choose It</h3><ul><li>Small-format pantry convenience</li><li>Topping use</li><li>Modern wellness routine</li></ul><h3>How to Use</h3><p>Sprinkle on bowls or salads, mix into yogurt or smoothies, or soak where the product is commonly used that way.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use moderate portions and drink enough water when using fiber-rich seeds. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Seeds,"Morganics, Seeds, Til Black, کالا تل",TRUE,Size,100g,TIL-BLK-250,649,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_24-til-black.jpg,Til Black - کالا تل | Morganics,Buy Til Black Online in Pakistan | Morganics,"Shop Morganics Til Black for breakfast bowls, soaked drinks, salads, baking and clean snack portions. Freshness-led packing, practical usage guidance and s",active
til-black,,,,,,,,Size,200g,TIL-BLK-250-200G,1298,shopify,0,deny,manual,TRUE,FALSE,,,,,
til-black,,,,,,,,Size,500g,TIL-BLK-250-500G,3245,shopify,0,deny,manual,TRUE,FALSE,,,,,
chilka-ispaghol,Chilka Ispaghol,"<h2>Morganics Chilka Ispaghol</h2><p>Morganics Chilka Ispaghol is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is aroma, traditional familiarity and practical kitchen use, with Pakistan-focused usage around tea, kitchen, aroma, traditional pantry and careful daily routines.</p><h3>Best Use Cases</h3><ul><li>Tea</li><li>Kitchen use</li><li>Aroma</li><li>Traditional pantry</li><li>Careful daily routine</li></ul><h3>Why Customers Choose It</h3><ul><li>Aroma-led pantry use</li><li>Traditional familiarity</li><li>Practical kitchen routine</li></ul><h3>How to Use</h3><p>Use in tea, cooking, infusions or traditional preparations in small sensible amounts.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Herbs may not suit every body; ask a qualified professional if pregnant, nursing, medicated or managing a condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Herbs & Spices",Herbs,"Morganics, Herbs, Ispaghol, Isabgol, Ispaghol husk, Psyllium husk, Chilka Ispaghol, چھلکا اسپغول",TRUE,Size,100g,ISAB-100,849,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_25-chilka-ispaghol.jpg,Chilka Ispaghol - چھلکا اسپغول | Morganics,Buy Chilka Ispaghol Online in Pakistan | Morganics,"Shop Morganics Chilka Ispaghol for tea, kitchen, aroma, traditional pantry and careful daily routines. Freshness-led packing, practical usage guidance and",active
chilka-ispaghol,,,,,,,,Size,200g,ISAB-100-200G,1698,shopify,0,deny,manual,TRUE,FALSE,,,,,
chilka-ispaghol,,,,,,,,Size,500g,ISAB-100-500G,4245,shopify,0,deny,manual,TRUE,FALSE,,,,,
sabz-elaichi,Sabz Elaichi,"<h2>Morganics Sabz Elaichi</h2><p>Morganics Sabz Elaichi is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is heritage use, careful selection and clear precaution guidance, with Pakistan-focused usage around traditional pantry routines, guided wellness use and specialist ingredient needs.</p><h3>Best Use Cases</h3><ul><li>Traditional pantry routine</li><li>Guided wellness use</li><li>Specialist ingredient needs</li></ul><h3>Why Customers Choose It</h3><ul><li>Heritage use</li><li>Careful selection</li><li>Clear precaution guidance</li></ul><h3>How to Use</h3><p>Use in tea, milk, desserts, cooking or aroma-led recipes in small amounts according to taste.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items",Botanicals,"Morganics, Botanicals, Sabz Elaichi, سبز الائچی",TRUE,Size,50g,ELA-50,999,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_26-elaichi-sabz.jpg,Sabz Elaichi - سبز الائچی | Morganics,Buy Sabz Elaichi Online in Pakistan | Morganics,"Shop Morganics Sabz Elaichi for traditional pantry routines, guided wellness use and specialist ingredient needs. Freshness-led packing, practical usage gu",active
sabz-elaichi,,,,,,,,Size,100g,ELA-50-100G,1998,shopify,0,deny,manual,TRUE,FALSE,,,,,
sabz-elaichi,,,,,,,,Size,200g,ELA-50-200G,3996,shopify,0,deny,manual,TRUE,FALSE,,,,,
sabz-elaichi,,,,,,,,Size,500g,ELA-50-500G,9990,shopify,0,deny,manual,TRUE,FALSE,,,,,
pista-namkeen-roasted,Pista Namkeen Roasted,"<h2>Morganics Pista Namkeen Roasted</h2><p>Morganics Pista Namkeen Roasted is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is naturally satisfying texture, family serving value and premium pantry appeal, with Pakistan-focused usage around clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting.</p><h3>Best Use Cases</h3><ul><li>Clean snacking</li><li>Tea-time serving</li><li>Breakfast bowls</li><li>Desserts</li><li>Premium gifting</li></ul><h3>Why Customers Choose It</h3><ul><li>Naturally satisfying texture</li><li>Family serving value</li><li>Premium pantry appeal</li></ul><h3>How to Use</h3><p>Serve directly for tea-time, office snacking, travel, guest trays or gift boxes. Keep sealed after opening to protect crunch.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Contains tree nuts and may not suit customers with nut allergies. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Nuts,"Morganics, Nuts, Pista Namkeen Roasted, نمکین بھنا پستہ",TRUE,Size,200g,PIS-SLT-250,1299,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_27-pista-namkeen.jpg,Pista Namkeen Roasted - نمکین بھنا پستہ | Morganics,Buy Pista Namkeen Roasted Online in Pakistan | Morganics,"Shop Morganics Pista Namkeen Roasted for clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting. Freshness-led packing, practical",active
pista-namkeen-roasted,,,,,,,,Size,500g,PIS-SLT-250-500G,3248,shopify,0,deny,manual,TRUE,FALSE,,,,,
pista-namkeen-roasted,,,,,,,,Size,1kg,PIS-SLT-250-1KG,6495,shopify,0,deny,manual,TRUE,FALSE,,,,,
four-seeds,Four Seeds,"<h2>Morganics Four Seeds</h2><p>Morganics Four Seeds is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is naturally satisfying texture, family serving value and premium pantry appeal, with Pakistan-focused usage around clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting.</p><h3>Best Use Cases</h3><ul><li>Clean snacking</li><li>Tea-time serving</li><li>Breakfast bowls</li><li>Desserts</li><li>Premium gifting</li></ul><h3>Why Customers Choose It</h3><ul><li>Naturally satisfying texture</li><li>Family serving value</li><li>Premium pantry appeal</li></ul><h3>How to Use</h3><p>Snack directly, add to desserts, breakfast bowls, trail mixes, kheer, halwa or gift boxes.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Contains tree nuts and may not suit customers with nut allergies. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Nuts,"Morganics, Nuts, Four Seeds, Char Maghaz, چار مغز, فور سیڈز",TRUE,Size,100g,CHAR-MAG-250,1299,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_28-char-maghaz.jpg,Four Seeds - فور سیڈز | Morganics,Buy Four Seeds Online in Pakistan | Morganics,"Shop Morganics Four Seeds for clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting. Freshness-led packing, practical usage guida",active
four-seeds,,,,,,,,Size,200g,CHAR-MAG-250-200G,2598,shopify,0,deny,manual,TRUE,FALSE,,,,,
four-seeds,,,,,,,,Size,500g,CHAR-MAG-250-500G,6495,shopify,0,deny,manual,TRUE,FALSE,,,,,
four-seeds,,,,,,,,Size,1kg,CHAR-MAG-250-1KG,12990,shopify,0,deny,manual,TRUE,FALSE,,,,,
sogi-small-kishmish-mewa,Sogi Small Kishmish Mewa,"<h2>Morganics Sogi Small Kishmish Mewa</h2><p>Morganics Sogi Small Kishmish Mewa is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is easy serving, everyday convenience and pantry restocking, with Pakistan-focused usage around breakfast, office snacking, lunch bowls and family pantry use.</p><h3>Best Use Cases</h3><ul><li>Breakfast</li><li>Office snacking</li><li>Lunch bowls</li><li>Family pantry use</li></ul><h3>Why Customers Choose It</h3><ul><li>Easy serving</li><li>Everyday convenience</li><li>Pantry restocking</li></ul><h3>How to Use</h3><p>Use as a ready pantry item for breakfast bowls, snack portions or family serving.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Check ingredients and portion sizes according to your dietary needs. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Snack Foods",Premium Snacks,"Morganics, Premium Snacks, Sogi Small Kishmish Mewa, سوگی اسمال کشمش میوہ",TRUE,Size,200g,SOGI-SM,1099,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_29-sogi-small-mewa.jpg,Sogi Small Kishmish Mewa - سوگی اسمال کشمش میوہ | Morganics,Buy Sogi Small Kishmish Mewa Online in Pakistan | Morganics,"Shop Morganics Sogi Small Kishmish Mewa for breakfast, office snacking, lunch bowls and family pantry use. Freshness-led packing, practical usage guidance",active
sogi-small-kishmish-mewa,,,,,,,,Size,500g,SOGI-SM-500G,2748,shopify,0,deny,manual,TRUE,FALSE,,,,,
moosli-white,Moosli White,"<h2>Morganics Moosli White</h2><p>Morganics Moosli White is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is heritage use, careful selection and clear precaution guidance, with Pakistan-focused usage around traditional pantry routines, guided wellness use and specialist ingredient needs.</p><h3>Best Use Cases</h3><ul><li>Traditional pantry routine</li><li>Guided wellness use</li><li>Specialist ingredient needs</li></ul><h3>Why Customers Choose It</h3><ul><li>Heritage use</li><li>Careful selection</li><li>Clear precaution guidance</li></ul><h3>How to Use</h3><p>Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items",Botanicals,"Morganics, Botanicals",TRUE,Size,Premium Pack,MOS-50,999,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_30-moosli-white.jpg,Moosli White - موصلی سفید | Morganics,Buy Moosli White Online in Pakistan | Morganics,"Shop Morganics Moosli White for traditional pantry routines, guided wellness use and specialist ingredient needs. Freshness-led packing, practical usage gu",active
tukhm-methi,Tukhm Methi,"<h2>Morganics Tukhm Methi</h2><p>Morganics Tukhm Methi is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is small-format pantry convenience, topping use and modern wellness routines, with Pakistan-focused usage around breakfast bowls, soaked drinks, salads, baking and clean snack portions.</p><h3>Best Use Cases</h3><ul><li>Breakfast bowls</li><li>Soaked drinks</li><li>Salads</li><li>Baking</li><li>Clean snack portions</li></ul><h3>Why Customers Choose It</h3><ul><li>Small-format pantry convenience</li><li>Topping use</li><li>Modern wellness routine</li></ul><h3>How to Use</h3><p>Sprinkle on bowls or salads, mix into yogurt or smoothies, or soak where the product is commonly used that way.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use moderate portions and drink enough water when using fiber-rich seeds. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Seeds,"Morganics, Seeds, Tuham Methi, Tukhm Methi, Fenugreek seeds, تخم میتھی",TRUE,Size,100g,METHI-200,649,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_31-tukhm-methi.jpg,Tukhm Methi - تخم میتھی | Morganics,Buy Tukhm Methi Online in Pakistan | Morganics,"Shop Morganics Tukhm Methi for breakfast bowls, soaked drinks, salads, baking and clean snack portions. Freshness-led packing, practical usage guidance and",active
tukhm-methi,,,,,,,,Size,200g,METHI-200-200G,1298,shopify,0,deny,manual,TRUE,FALSE,,,,,
tukhm-methi,,,,,,,,Size,500g,METHI-200-500G,3245,shopify,0,deny,manual,TRUE,FALSE,,,,,
sarson-yellow,Sarson Yellow,"<h2>Morganics Sarson Yellow</h2><p>Morganics Sarson Yellow is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is small-format pantry convenience, topping use and modern wellness routines, with Pakistan-focused usage around breakfast bowls, soaked drinks, salads, baking and clean snack portions.</p><h3>Best Use Cases</h3><ul><li>Breakfast bowls</li><li>Soaked drinks</li><li>Salads</li><li>Baking</li><li>Clean snack portions</li></ul><h3>Why Customers Choose It</h3><ul><li>Small-format pantry convenience</li><li>Topping use</li><li>Modern wellness routine</li></ul><h3>How to Use</h3><p>Sprinkle on bowls or salads, mix into yogurt or smoothies, or soak where the product is commonly used that way.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use moderate portions and drink enough water when using fiber-rich seeds. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Seeds,"Morganics, Seeds, Sarson Yellow, Yellow Mustard, Mustard Seeds, پیلی سرسوں",TRUE,Size,100g,SAR-YEL-250,649,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_32-mustard-seeds.jpg,Sarson Yellow - پیلی سرسوں | Morganics,Buy Sarson Yellow Online in Pakistan | Morganics,"Shop Morganics Sarson Yellow for breakfast bowls, soaked drinks, salads, baking and clean snack portions. Freshness-led packing, practical usage guidance a",active
sarson-yellow,,,,,,,,Size,200g,SAR-YEL-250-200G,1298,shopify,0,deny,manual,TRUE,FALSE,,,,,
sarson-yellow,,,,,,,,Size,500g,SAR-YEL-250-500G,3245,shopify,0,deny,manual,TRUE,FALSE,,,,,
